id,source,cleaned_question,question_type
106,,"Is holding multiple ETFs such as VDY, VFV, and XEQT excessively diversified for personal finance and investing?",
107,,What is the impact of an executor on a retail investor's portfolio?,
108,,Explain in layman's terms the difference between Wealthsimple Direct Indexing and a passive ETF such as VFV,
109,,What are essential factors to consider about bank accounts prior to making an investment?,
110,,What is the impact of long-term care planning on a retail investor?,
111,,Under what circumstances might a change in risk profile impact my investment decisions?,
112,,What key factors should be considered in financial preparation for retirement prior to investing?,
113,,The individual is about to inherit a significant amount of money.,
114,,Is Wealthsimple Tax considered good for personal tax filing?,
115,,Is it possible to verify if a financial advisor is properly registered in Canada?,
116,,What is the impact of self-management on a retail investor's financial performance?,
117,,What is the impact of checking one's knowledge about cryptocurrency on a retail investor?,
118,,What is the impact of the risk-return relationship on investment decisions?,
119,,What is the impact of preparing for financial emergencies on a retail investor?,
120,,"What is the best low-risk investment option for a Canadian resident to put $17,000 into for one year?",
121,,What is the impact of a Tax-Free Savings Account (TFSA) on a retail investor?,
122,,What risks should I consider before investing in actively managed ETFs?,
123,,Is it possible to sell VOO shares held within a Tax-Free Savings Account (TFSA) and purchase VFV shares without incurring a penalty?,
124,,What are the key points to consider when making it simpler to accumulate funds prior to investment?,
125,,"What is the optimal frequency for buying stocks when automating contributions to TD Direct Investing XEQT in a TFSA account, given a trading fee of approximately $10 per transaction?",
126,,Is it more common than previously thought for Canadians to retire with little savings?,
127,,What is the role and importance of a Trusted Contact Person for a retail investor in Canada?,
128,,How does giving financial advice on social media impact a retail investor?,
129,,"What is the financial impact on retirement savings (RRSP) for an individual with a salary jump from $80,000 to $200,000, no existing RRSP funds, and $42,000 in student debt?",
130,,How can one minimize Sequence of Returns Risk near retirement in personal finance and investing?,
131,,Should a Federal Home Savings Account (FHSA) be used for stock investments?,
132,,"Is purchasing a condo currently considered a poor investment, as suggested by the article?",
133,,How does the approach of asking questions and then asking more questions impact a retail investor?,
134,,I want to start investing in stocks (Canadian context),
135,,"How relevant is a 20% Global ETF and 80% Bond portfolio today, in terms of personal finance and investing?",
136,,What are the consequences of exceeding the contribution limit for Federal Home Savings Account (FHSA) tax deductions?,
137,,What factors should be considered when comparing investment products and services in Canada?,
138,,"What risks should I consider before investing, given my risk profile?",
139,,How does understanding cryptocurrency trading platforms impact a retail investor?,
140,,Transferring Stocks from a Non-Registered Account to a Tax-Free Savings Account (TFSA),
141,,"At age 18, should one choose a Federal Home Savings Account (FHSA) over a Tax-Free Savings Account (TFSA)?",
142,,What are the costs associated with LSIFs (Liquefied Natural Gas Infrastructure Funds) that an investor should consider before investing?,
143,,What aspects of transparency are important to consider before making an investment in Canada?,
144,,What key points should investors consider regarding the DSC ban prior to investment?,
145,,"What should one consider when budgeting for the first time while living independently, prior to investing?",
146,,What should an investor consider when considering investment product and service recommendations prior to investing?,
147,,Should I switch from a sector fund to XEQT (iShares Core S&P Total U.S. Stock Market ETF) or North American Value Fund?,
148,,What are the thoughts on a high-risk investment strategy for a $700k inheritance managed by an individual with a high risk tolerance (aged 27)?,
149,,Which specific stocks should I consider investing in? Could you explain the process for determining which stocks to buy? My current knowledge is limited to investments such as XEQT and XGRO.,
150,,Should a parent choose between purchasing life insurance or contributing to a Tax-Free Savings Account (TFSA) for their child?,
